suite_name,run_id,probe_index,step,symmetry_score,curvature,symmetry_threshold,symmetry_z_score,symmetry_triggered
toy_sanity,seed0_lr0.0100_scale0.75,0,12,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,1,24,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,2,36,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,3,48,5.643424484108637e-17,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,4,60,6.657445178824103e-17,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,5,72,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,6,84,7.254496387492211e-17,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,7,96,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,8,108,9.696674802416705e-17,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,9,120,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,10,132,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,11,144,5.693382398412789e-17,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,12,156,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,13,168,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,14,180,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,15,192,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,16,204,1.1048317710002522e-16,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,17,216,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,18,228,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,19,240,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,0,12,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,1,24,9.998327767084016e-17,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,2,36,8.249602911733909e-17,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,3,48,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,4,60,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,5,72,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,6,84,1.0411261329315218e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,7,96,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,8,108,1.0411074980740443e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,9,120,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,10,132,1.0411074026318232e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,11,144,1.0411074021757985e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,12,156,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,13,168,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,14,180,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,15,192,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,16,204,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,17,216,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,18,228,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,19,240,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,0,12,6.232404739310079e-17,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,1,24,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,2,36,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,3,48,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,4,60,6.3733776939387e-17,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,5,72,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,6,84,1.1081276951954957e-16,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,7,96,1.1050197063440143e-16,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,8,108,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,9,120,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,10,132,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,11,144,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,12,156,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,13,168,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,14,180,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,15,192,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,16,204,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,17,216,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,18,228,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale0.75,19,240,1.1044391481042123e-16,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,0,12,8.422421642475618e-17,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,1,24,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,2,36,1.0411445041254554e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,3,48,1.0411074921080163e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,4,60,1.0411074023586875e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,5,72,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,6,84,1.0411074021408192e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,7,96,1.0411074021408192e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,8,108,1.0411074021408192e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,9,120,1.0411074021408192e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,10,132,1.0411074021408192e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,11,144,1.0411074021408192e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,12,156,1.0411074021408192e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,13,168,1.0411074021408192e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,14,180,1.0411074021408192e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,15,192,1.0411074021408192e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,16,204,1.0411074021408192e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,17,216,1.0411074021408192e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,18,228,1.0411074021408192e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0200_scale1.25,19,240,1.0411074021408192e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,0,12,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,1,24,5.673562520364241e-17,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,2,36,5.573196687157924e-17,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,3,48,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,4,60,1.1044423476247551e-16,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,5,72,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,6,84,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,7,96,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,8,108,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,9,120,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,10,132,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,11,144,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,12,156,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,13,168,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,14,180,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,15,192,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,16,204,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,17,216,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,18,228,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale0.75,19,240,0.0,1.7698671060060573,0.01,,False
toy_sanity,seed0_lr0.0400_scale1.25,0,12,1.0411984105283439e-16,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0400_scale1.25,1,24,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0400_scale1.25,2,36,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0400_scale1.25,3,48,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0400_scale1.25,4,60,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0400_scale1.25,5,72,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0400_scale1.25,6,84,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0400_scale1.25,7,96,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0400_scale1.25,8,108,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0400_scale1.25,9,120,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0400_scale1.25,10,132,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0400_scale1.25,11,144,0.0,4.890396575340233,0.01,,False
toy_sanity,seed0_lr0.0400_scale1.25,12,156,0.0,4.890396575340233,0.01,,False
