suite_name,preset_name,detector_name,verdict,total_runs,comparable_runs,supportive_runs,falsifying_runs,censored_runs,positive_fraction,nonpositive_fraction,median_lead_steps
instant_break_control_stochastic,baseline,covariance_mismatch,FALSIFIED,8,8,0,8,0,0.0,1.0,-23.0
instant_break_control_stochastic,baseline,mean_gradient_mismatch,FALSIFIED,8,8,0,8,0,0.0,1.0,-23.0
instant_break_control_stochastic,baseline,activation_stat_mismatch,FALSIFIED,8,7,0,7,1,0.0,1.0,-23.0
instant_break_control_stochastic,local_low,covariance_mismatch,FALSIFIED,8,8,0,8,0,0.0,1.0,-15.0
instant_break_control_stochastic,local_low,mean_gradient_mismatch,FALSIFIED,8,8,0,8,0,0.0,1.0,-15.0
instant_break_control_stochastic,local_low,activation_stat_mismatch,FALSIFIED,8,8,0,8,0,0.0,1.0,-15.0
instant_break_control_stochastic,local_high,covariance_mismatch,FALSIFIED,8,8,0,8,0,0.0,1.0,-30.0
instant_break_control_stochastic,local_high,mean_gradient_mismatch,FALSIFIED,8,8,0,8,0,0.0,1.0,-30.0
instant_break_control_stochastic,local_high,activation_stat_mismatch,FALSIFIED,8,7,0,7,1,0.0,1.0,-30.0
instant_break_control_stochastic,looser,covariance_mismatch,FALSIFIED,8,8,0,8,0,0.0,1.0,-13.0
instant_break_control_stochastic,looser,mean_gradient_mismatch,FALSIFIED,8,8,0,8,0,0.0,1.0,-13.0
instant_break_control_stochastic,looser,activation_stat_mismatch,FALSIFIED,8,8,0,8,0,0.0,1.0,-13.0
instant_break_control_stochastic,stricter,covariance_mismatch,FALSIFIED,8,8,0,8,0,0.0,1.0,-32.5
instant_break_control_stochastic,stricter,mean_gradient_mismatch,FALSIFIED,8,8,0,8,0,0.0,1.0,-32.5
instant_break_control_stochastic,stricter,activation_stat_mismatch,FALSIFIED,8,7,0,7,1,0.0,1.0,-33.0
