suite_name,run_id,step,update_norm,loss,running_mean_update_norm,drift_window_slope,drift_window_p_value,drift_window_effect,drift_window_triggered
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,1,0.017671118631525845,0.4567168517854234,0.017671118631525845,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,2,0.01493285142883691,0.3996864711624702,0.016301985030181376,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,3,0.011389555838387034,0.34088799159331423,0.014664508632916596,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,4,0.01160046724989643,0.2512818747212742,0.013898498287161554,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,5,0.013054369638542722,0.3244012684392505,0.013729672557437789,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,6,0.013681379079907779,0.28968511347413967,0.013721623644516122,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,7,0.015319057168944916,0.3734507171893436,0.013949828433720234,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,8,0.011651542998254783,0.29679920939686566,0.013662542754287053,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,9,0.0113675093399682,0.2945913776596865,0.012874591592842346,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,10,0.008634940019409091,0.26339516259722895,0.012087352666663869,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,11,0.008618275007002837,0.25969852635186497,0.011740942562740844,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,12,0.008250722876145117,0.19905945061829014,0.01132222451602193,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,13,0.007088613171215126,0.20563952209464267,0.010576504957605981,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,14,0.006995954677165596,0.17629104473050447,0.009740826907263208,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,15,0.00797234846172644,0.2439138357208349,0.0088224883188609,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,16,0.008139880622307315,0.20528633418813727,0.008383530521867466,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,17,0.007671067144840881,0.23864481618345035,0.00792147524747655,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,18,0.004873543368098355,0.19323484310865555,0.0074513006660627094,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,19,0.007741167740205058,0.22713338242968054,0.007341662257712986,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,20,0.007122133669697402,0.2521404186840464,0.007200588606907022,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,21,0.006910637004878625,0.20979205239234322,0.007178341586114959,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,22,0.008913430133773865,0.23195352655963494,0.007418026018190993,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,23,0.007947250547309472,0.15731920289254478,0.0074148887788888715,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,24,0.005096527546926854,0.2018278228989853,0.0070344696444663134,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,25,0.004563505554615214,0.16828439599262857,0.006646024445688106,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,26,0.006561051748645127,0.18294837114001342,0.006856962993256452,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,27,0.005048799771980504,0.14424445764653623,0.006520416997228383,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,28,0.012936775578755133,0.23131688824548627,0.007247247235860599,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,29,0.005448094342791134,0.15089782697009216,0.0070644294030996636,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,30,0.008884764257501277,0.2017459838808869,0.007060846168565589,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,31,0.005256343476850694,0.15134363623344918,0.006724482784758241,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,32,0.004284393353838177,0.1504554708249485,0.006622966010622157,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,33,0.005227567602158948,0.17893038064553038,0.006705973766565124,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,34,0.0075335208261254364,0.16569263027660822,0.006827532401250162,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,35,0.005919009416650848,0.14651421600247214,0.006936308606833956,,,,
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,36,0.005485300891610438,0.1506221143783375,0.006004874270940869,-0.000289107461252823,6.999885131627638e-15,0.0,False
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,37,0.007996223303219877,0.22661621466981016,0.0063233903909944615,-0.0002648480098707048,1.5448781636981905e-14,0.03305223977553498,False
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,38,0.007371300073083598,0.17205770215353747,0.006134207367942252,-0.00024503950991400643,4.6218284033645256e-14,0.06266766747641185,True
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,39,0.0067291263148427614,0.19943185787546724,0.006318305222691261,-0.00022958205840751438,3.305028838116928e-13,0.08697744212759254,True
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,40,0.0057874757290601484,0.1606808467577879,0.006506190519594007,-0.000214777630141806,3.16263524426527e-12,0.10850882917257816,True
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,41,0.00482667918995202,0.1283874499680069,0.006456079468068141,-0.00019910007745757121,2.5530558533969727e-11,0.12969443899013067,True
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,42,0.0058518551038999975,0.15529763838695096,0.006245871252789961,-0.00018253551204928223,1.3430522202264763e-10,0.15146887307212703,True
main_paired_mlp_stochastic,seed0_lr0.0100_scale0.75,43,0.003973425424590778,0.12600715052677983,0.006002673253782452,-0.00016405548306071762,3.403036688632048e-10,0.17461635008012336,True
