run_id,seed,learning_rate,input_scale,drift_onset_step,symmetry_onset_step,lead_steps,verdict_label,final_loss,terminal_symmetry_score,path_efficiency_30,path_efficiency_60,norm_growth_ratio_30,norm_growth_ratio_60
seed0_lr0.0200_scale0.75,0,0.02,0.75,54,,,censored,0.04366963748018861,0.006981836896301787,0.9991946392926002,0.9972292658058135,1.0,1.0
seed0_lr0.0200_scale1.25,0,0.02,1.25,52,105,53,supportive,0.22701798580815358,0.2667385456665801,0.9993031469860563,0.9982856552130839,1.0,1.0
seed0_lr0.0200_scale1.75,0,0.02,1.75,52,90,38,supportive,0.2720277020172201,0.20720028317902672,0.9963324820821106,0.9874558166730963,1.0,1.0
seed0_lr0.0400_scale0.75,0,0.04,0.75,55,,,censored,0.04516535988855672,0.007351369910300649,0.9980963653424708,0.9933749371125963,1.0,1.0
seed0_lr0.0400_scale1.25,0,0.04,1.25,61,90,29,supportive,0.1273647890694574,0.07656793051985744,0.9972291470585233,0.991997760489398,1.0,1.0
seed0_lr0.0400_scale1.75,0,0.04,1.75,51,75,24,supportive,0.23767542599274488,0.22554263647577386,0.9959452041893572,0.9767926303083427,1.0,1.0
seed0_lr0.0800_scale0.75,0,0.08,0.75,52,,,censored,0.03595159698970732,0.023912091807817677,0.9955023855502145,0.980892654907047,1.0,1.0
seed0_lr0.0800_scale1.25,0,0.08,1.25,52,90,38,supportive,0.1033488011939315,0.2423227072696929,0.9912904393265545,0.9599293480009916,1.0,1.0
seed0_lr0.0800_scale1.75,0,0.08,1.75,52,60,8,supportive,0.11702304430942126,0.26109129929134645,0.9823364896879488,0.9632770625269873,1.0,1.0
seed1_lr0.0200_scale0.75,1,0.02,0.75,53,,,censored,0.0350012217477974,0.014133263753963378,0.9980204466236837,0.9960173878691216,1.0,1.0
seed1_lr0.0200_scale1.25,1,0.02,1.25,52,,,censored,0.04677153928535219,0.011761854022849464,0.9981934613651869,0.9944341185790225,1.0,1.0
seed1_lr0.0200_scale1.75,1,0.02,1.75,52,,,censored,0.07264756998529179,0.024055391822304734,0.9926860047731224,0.980522266671231,1.0,1.0
seed1_lr0.0400_scale0.75,1,0.04,0.75,51,60,9,supportive,0.014863580935335779,0.10084316697414006,0.9968512212530727,0.9856085685739165,1.0,1.0
seed1_lr0.0400_scale1.25,1,0.04,1.25,51,60,9,supportive,0.04302111442546172,0.33127978810790004,0.9980533292983855,0.9895925360168799,1.0,1.0
seed1_lr0.0400_scale1.75,1,0.04,1.75,52,180,128,supportive,0.05720814191233828,0.18842413326673338,0.9907764900247841,0.980374694888228,1.0,1.0
seed1_lr0.0800_scale0.75,1,0.08,0.75,51,60,9,supportive,0.013011943681782753,0.1330262153960151,0.9952564961603517,0.984649669316057,1.0,1.0
seed1_lr0.0800_scale1.25,1,0.08,1.25,51,120,69,supportive,0.031532392548859665,0.21507863735288657,0.9869466076413773,0.9785157618067045,1.0,1.0
seed1_lr0.0800_scale1.75,1,0.08,1.75,52,90,38,supportive,0.037570361560768074,0.5065952286682035,0.9862500263531855,0.9557995897038076,1.0,1.0
seed2_lr0.0200_scale0.75,2,0.02,0.75,52,285,233,supportive,0.027639779240598114,0.021318107621706887,0.9984266270801142,0.9958109649841668,1.0,1.0
seed2_lr0.0200_scale1.25,2,0.02,1.25,52,,,censored,0.03405624459762316,0.012898144865606581,0.9987292412136601,0.997783791619177,1.0,1.0
seed2_lr0.0200_scale1.75,2,0.02,1.75,52,240,188,supportive,0.15472885239485062,0.042018692385952155,0.9986618306792172,0.9971758563720424,1.0,1.0
seed2_lr0.0400_scale0.75,2,0.04,0.75,51,,,censored,0.004464948402550348,0.0032663160152856512,0.9934440549396627,0.9930058175261092,1.0,1.0
seed2_lr0.0400_scale1.25,2,0.04,1.25,52,150,98,supportive,0.030684871404334537,0.03783980661856898,0.9991283770742574,0.9977693481421924,1.0,1.0
seed2_lr0.0400_scale1.75,2,0.04,1.75,51,135,84,supportive,0.03314066663603134,0.2302422123819349,0.9983151051666569,0.9945404202179112,1.0,1.0
seed2_lr0.0800_scale0.75,2,0.08,0.75,51,,,censored,0.004429520634438983,0.005867839007763037,0.9988271085810608,0.9947199841253721,1.0,1.0
seed2_lr0.0800_scale1.25,2,0.08,1.25,51,90,39,supportive,0.01768155602285073,0.170225154770757,0.998849108643097,0.9959784031010288,1.0,1.0
seed2_lr0.0800_scale1.75,2,0.08,1.75,51,60,9,supportive,0.030156545240161568,0.340411530795362,0.9989947680388528,0.9979413599570109,1.0,1.0
