suite_name,run_id,probe_index,step,curvature,score_scale_charge_mismatch,threshold_scale_charge_mismatch,z_score_scale_charge_mismatch,triggered_scale_charge_mismatch,symmetry_score,symmetry_threshold,symmetry_z_score,symmetry_triggered
toy_sanity,seed0_lr0.0100_scale0.75,0,10,2.124887415052363,0.0,0.01,,False,0.0,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,1,20,2.124887415052363,0.0,0.01,,False,0.0,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,2,30,2.124887415052363,0.0,0.01,,False,0.0,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,3,40,2.124887415052363,0.0,0.01,,False,0.0,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,4,50,2.124887415052363,0.0,0.01,,False,0.0,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,5,60,2.124887415052363,0.0,0.01,,False,0.0,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,6,70,2.124887415052363,0.0,0.01,,False,0.0,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,7,80,2.124887415052363,7.059934020149971e-17,0.01,,False,7.059934020149971e-17,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,8,90,2.124887415052363,0.0,0.01,,False,0.0,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,9,100,2.124887415052363,0.0,0.01,,False,0.0,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,10,110,2.124887415052363,1.0827575966501158e-16,0.01,,False,1.0827575966501158e-16,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,11,120,2.124887415052363,0.0,0.01,,False,0.0,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,12,130,2.124887415052363,0.0,0.01,,False,0.0,0.01,,False
toy_sanity,seed0_lr0.0100_scale0.75,13,140,2.124887415052363,0.0,0.01,,False,0.0,0.01,,False
toy_sanity,seed0_lr0.0100_scale1.25,0,10,5.874786011615525,0.0,0.01,,False,0.0,0.01,,False
