suite_name,run_id,probe_index,step,curvature,score_covariance_mismatch,score_mean_gradient_mismatch,score_activation_stat_mismatch,threshold_covariance_mismatch,z_score_covariance_mismatch,triggered_covariance_mismatch,threshold_mean_gradient_mismatch,z_score_mean_gradient_mismatch,triggered_mean_gradient_mismatch,threshold_activation_stat_mismatch,z_score_activation_stat_mismatch,triggered_activation_stat_mismatch,symmetry_score,symmetry_threshold,symmetry_z_score,symmetry_triggered
instant_break_control,seed0_lr0.0200_scale0.75,0,12,2.0593826194084963,0.21802938141960962,0.417948290245561,0.08589984865146237,0.02,,True,0.02,,True,0.02,,True,0.21802938141960962,0.02,,True
instant_break_control,seed0_lr0.0200_scale0.75,1,24,2.0593826194084963,0.26454316165405667,0.30397668067921696,0.09105827238077197,0.02,,True,0.02,,True,0.02,,True,0.26454316165405667,0.02,,True
instant_break_control,seed0_lr0.0200_scale0.75,2,36,2.0593826194084963,0.18671874895524868,0.3854749726155166,0.0942923908421676,0.02,,True,0.02,,True,0.02,,True,0.18671874895524868,0.02,,True
instant_break_control,seed0_lr0.0200_scale0.75,3,48,2.0593826194084963,0.21224553086886835,0.49247584777535147,0.09621100086011145,0.02,,True,0.02,,True,0.02,,True,0.21224553086886835,0.02,,True
instant_break_control,seed0_lr0.0200_scale0.75,4,60,2.0593826194084963,0.34414618004337844,0.4922173735824959,0.09727263501053111,0.02,,True,0.02,,True,0.02,,True,0.34414618004337844,0.02,,True
instant_break_control,seed0_lr0.0200_scale0.75,5,72,2.0593826194084963,0.2649364428185145,0.5026626730489179,0.09779633512448824,0.02,,True,0.02,,True,0.02,,True,0.2649364428185145,0.02,,True
instant_break_control,seed0_lr0.0200_scale0.75,6,84,2.0593826194084963,0.17658482813392645,0.5319614336154013,0.10057945300820939,0.02,,True,0.02,,True,0.02,,True,0.17658482813392645,0.02,,True
instant_break_control,seed0_lr0.0200_scale0.75,7,96,2.0593826194084963,0.15557438163223752,0.41210898531978135,0.10309381460842922,0.02,,True,0.02,,True,0.02,,True,0.15557438163223752,0.02,,True
instant_break_control,seed0_lr0.0200_scale0.75,8,108,2.0593826194084963,0.12640906810390007,0.3818072633655729,0.10526640860610788,0.02,,True,0.02,,True,0.02,,True,0.12640906810390007,0.02,,True
instant_break_control,seed0_lr0.0200_scale0.75,9,120,2.0593826194084963,0.2590735145565676,0.4687084445334412,0.10716916059505159,0.02,,True,0.02,,True,0.02,,True,0.2590735145565676,0.02,,True
instant_break_control,seed0_lr0.0200_scale0.75,10,132,2.0593826194084963,0.17590500936479672,0.39386472352939134,0.1088560354432728,0.02,,True,0.02,,True,0.02,,True,0.17590500936479672,0.02,,True
instant_break_control,seed0_lr0.0200_scale0.75,11,144,2.0593826194084963,0.27547287815989435,0.5095957997771465,0.11036787900762196,0.02,,True,0.02,,True,0.02,,True,0.27547287815989435,0.02,,True
instant_break_control,seed0_lr0.0200_scale0.75,12,156,2.0593826194084963,0.3189395657501905,0.5491149521704998,0.11173590953506085,0.02,,True,0.02,,True,0.02,,True,0.3189395657501905,0.02,,True
instant_break_control,seed0_lr0.0200_scale0.75,13,168,2.0593826194084963,0.5046716580891047,0.528147426139725,0.1129842332373545,0.02,,True,0.02,,True,0.02,,True,0.5046716580891047,0.02,,True
instant_break_control,seed0_lr0.0200_scale0.75,14,180,2.0593826194084963,0.29657973557614276,0.6188418323029486,0.11413166468198165,0.02,,True,0.02,,True,0.02,,True,0.29657973557614276,0.02,,True
instant_break_control,seed0_lr0.0200_scale1.25,0,12,2.630081858849578,0.3042049545298977,0.2917784587643802,0.2700506625440028,0.02,,True,0.02,,True,0.02,,True,0.3042049545298977,0.02,,True
instant_break_control,seed0_lr0.0200_scale1.25,1,24,2.630081858849578,0.3180852323273793,0.4447406323169644,0.2281298226106749,0.02,,True,0.02,,True,0.02,,True,0.3180852323273793,0.02,,True
instant_break_control,seed0_lr0.0200_scale1.25,2,36,2.630081858849578,0.33068607816519957,0.4627531850515211,0.16647804474610267,0.02,,True,0.02,,True,0.02,,True,0.33068607816519957,0.02,,True
instant_break_control,seed0_lr0.0200_scale1.25,3,48,2.630081858849578,0.29558384364830287,0.40205351991442856,0.09601755494928761,0.02,,True,0.02,,True,0.02,,True,0.29558384364830287,0.02,,True
instant_break_control,seed0_lr0.0200_scale1.25,4,60,2.630081858849578,0.42174211321659943,0.5178450888245107,0.0360132639877761,0.02,,True,0.02,,True,0.02,,True,0.42174211321659943,0.02,,True
instant_break_control,seed0_lr0.0200_scale1.25,5,72,2.630081858849578,0.3722165023181552,0.49601068983932195,0.23010723805254343,0.02,,True,0.02,,True,0.02,,True,0.3722165023181552,0.02,,True
instant_break_control,seed0_lr0.0200_scale1.25,6,84,2.630081858849578,0.446139772566076,0.5720882543048493,0.26379309383521626,0.02,,True,0.02,,True,0.02,,True,0.446139772566076,0.02,,True
instant_break_control,seed0_lr0.0200_scale1.25,7,96,2.630081858849578,0.2818072279914526,0.6545603398660544,0.2658405450540939,0.02,,True,0.02,,True,0.02,,True,0.2818072279914526,0.02,,True
instant_break_control,seed0_lr0.0200_scale1.25,8,108,2.630081858849578,0.5348259203772765,0.5776878589036467,0.2679445185575573,0.02,,True,0.02,,True,0.02,,True,0.5348259203772765,0.02,,True
instant_break_control,seed0_lr0.0200_scale1.25,9,120,2.630081858849578,0.4369858836760395,0.65933223808689,0.27009582753702766,0.02,,True,0.02,,True,0.02,,True,0.4369858836760395,0.02,,True
instant_break_control,seed0_lr0.0200_scale1.25,10,132,2.630081858849578,0.6118859311418634,0.8664969723212272,0.27228600910200507,0.02,,True,0.02,,True,0.02,,True,0.6118859311418634,0.02,,True
instant_break_control,seed0_lr0.0200_scale1.25,11,144,2.630081858849578,0.5664520231937851,0.6532192733913814,0.27450608178827346,0.02,,True,0.02,,True,0.02,,True,0.5664520231937851,0.02,,True
instant_break_control,seed0_lr0.0200_scale1.25,12,156,2.630081858849578,0.5776998836637632,0.882937111828288,0.2767459959104057,0.02,,True,0.02,,True,0.02,,True,0.5776998836637632,0.02,,True
instant_break_control,seed0_lr0.0200_scale1.25,13,168,2.630081858849578,0.45384528997621476,0.6492141650081622,0.27899459492211187,0.02,,True,0.02,,True,0.02,,True,0.45384528997621476,0.02,,True
