detector_name,verdict,total_runs,comparable_runs,supportive_runs,falsifying_runs,censored_runs,positive_fraction,nonpositive_fraction,median_lead_steps
covariance_mismatch,INCONCLUSIVE,27,0,0,0,27,0.0,0.0,
mean_gradient_mismatch,SUPPORTED,27,2,2,0,25,1.0,0.0,218.0
activation_stat_mismatch,INCONCLUSIVE,27,0,0,0,27,0.0,0.0,
