suite_name,run_id,probe_index,step,curvature,score_covariance_mismatch,score_mean_gradient_mismatch,score_activation_stat_mismatch,threshold_covariance_mismatch,z_score_covariance_mismatch,triggered_covariance_mismatch,threshold_mean_gradient_mismatch,z_score_mean_gradient_mismatch,triggered_mean_gradient_mismatch,threshold_activation_stat_mismatch,z_score_activation_stat_mismatch,triggered_activation_stat_mismatch,symmetry_score,symmetry_threshold,symmetry_z_score,symmetry_triggered
main_paired_mlp,seed0_lr0.0200_scale0.75,0,12,2.0761880624641273,0.0031437654132664933,0.005819519061805538,0.0003687037909983399,0.02,-1.0000000000000004,False,0.02,1.0000000000000007,False,0.02,1.0,False,0.0031437654132664933,0.02,-1.0000000000000004,False
main_paired_mlp,seed0_lr0.0200_scale0.75,1,24,2.0761880624641273,0.003995860630682,0.0043099219607379505,0.0003411322137732342,0.02,0.9999999999999994,False,0.02,-0.9999999999999994,False,0.02,-1.0,False,0.003995860630682,0.02,0.9999999999999994,False
main_paired_mlp,seed0_lr0.0200_scale0.75,2,36,2.0761880624641273,0.002948459840196039,0.005331461890876496,0.00033179366299816097,0.02,-1.4584125554954679,False,0.02,0.3533941333301616,False,0.02,-1.6774041759620397,False,0.002948459840196039,0.02,-1.4584125554954679,False
main_paired_mlp,seed0_lr0.0200_scale0.75,3,48,2.0761880624641273,0.0032575570627886856,0.007161945584406516,0.0003070638814482188,0.02,-0.7329133007756246,False,0.02,2.7785229206542783,False,0.02,-3.4712646684567616,False,0.0032575570627886856,0.02,-0.7329133007756246,False
main_paired_mlp,seed0_lr0.0200_scale0.75,4,60,2.0761880624641273,0.005787244218552315,0.006994527499209239,0.0003282567828749816,0.02,5.20465589116617,False,0.02,2.5567179303308625,False,0.02,-1.9339640451565234,False,0.005787244218552315,0.02,5.20465589116617,False
main_paired_mlp,seed0_lr0.0200_scale0.75,5,72,2.0761880624641273,0.004157596906792833,0.008488870470917684,0.0003697904600193908,0.02,1.3796201945632218,False,0.02,4.536508393165808,False,0.02,1.0788253071036786,False,0.004157596906792833,0.02,1.3796201945632218,False
main_paired_mlp,seed0_lr0.0200_scale0.75,6,84,2.0761880624641273,0.0026758788016637306,0.0077145894849582584,0.00041603166519336564,0.02,-2.0982026469340163,False,0.02,3.510696955912975,False,0.02,4.433091535433136,False,0.0026758788016637306,0.02,-2.0982026469340163,False
main_paired_mlp,seed0_lr0.0200_scale0.75,7,96,2.0761880624641273,0.002247796783292882,0.0062535366168768435,0.00043918845409113126,0.02,-3.1029777228211115,False,0.02,1.575011113580397,False,0.02,6.112849549180703,False,0.002247796783292882,0.02,-3.1029777228211115,False
main_paired_mlp,seed0_lr0.0200_scale0.75,8,108,2.0761880624641273,0.0022317002750962783,0.005815119926561585,0.0004669605113007304,0.02,-3.1407587310174168,False,0.02,0.994171775713081,False,0.02,8.12739206032228,False,0.0022317002750962783,0.02,-3.1407587310174168,False
main_paired_mlp,seed0_lr0.0200_scale0.75,9,120,2.0761880624641273,0.004133727409019725,0.009227206157507694,0.0005109157189169646,0.02,1.3235947709127827,False,0.02,5.514697455754573,False,0.02,11.315835525660933,False,0.004133727409019725,0.02,1.3235947709127827,False
